disease_name,disease_id,ontology_prefix,display_group,relation,evidence_score,evidence_count,number_of_pmids,number_of_snps,disease_specificity_index,disease_pleiotropy_index,year_initial,year_final,direct_sources
dysgammaglobulinemia,MONDO_0001342,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06690981483336124,4,,,,,,,"[""OPEN_TARGETS""]"
selective immunoglobulin deficiency disease,MONDO_0003739,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06690981483336124,4,,,,,,,"[""OPEN_TARGETS""]"
severe combined immunodeficiency due to CARD11 deficiency,MONDO_0014081,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06688409823513944,3,,,,,,,"[""OPEN_TARGETS""]"
inborn disorder of porphyrin metabolism,MONDO_0017754,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06677983982271121,14,,,,,,,"[""OPEN_TARGETS""]"
autosomal dominant severe congenital neutropenia,MONDO_0008742,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06669056363779097,5,,,,,,,"[""OPEN_TARGETS""]"
spondyloepiphyseal dysplasia,MONDO_0016761,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06662457104829417,4,,,,,,,"[""OPEN_TARGETS""]"
inborn disorder of bilirubin metabolism,MONDO_0017755,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06651012368071209,13,,,,,,,"[""OPEN_TARGETS""]"
bilirubin metabolism disease,MONDO_0024431,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06651012368071209,13,,,,,,,"[""OPEN_TARGETS""]"
familial intrahepatic cholestasis,MONDO_0017290,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06630201025152782,12,,,,,,,"[""OPEN_TARGETS""]"
progressive familial intrahepatic cholestasis,MONDO_0015762,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06604574064469189,11,,,,,,,"[""OPEN_TARGETS""]"
anxiety,EFO_0005230,EFO,disease / other candidate,ASSOCIATED_WITH,0.06597578995918067,18,,,,,,,"[""OPEN_TARGETS""]"
Rare genetic skin disease,Orphanet_68346,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06591138458982344,7,,,,,,,"[""OPEN_TARGETS""]"
T-B+ severe combined immunodeficiency due to JAK3 deficiency,MONDO_0010938,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06579209242561689,4,,,,,,,"[""OPEN_TARGETS""]"
Rare genetic hepatic disease,Orphanet_156601,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06537012554625615,13,,,,,,,"[""OPEN_TARGETS""]"
mitochondrial disease,MONDO_0044970,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06510913554603796,12,,,,,,,"[""OPEN_TARGETS""]"
Primary hemophagocytic lymphohistiocytosis,Orphanet_158038,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06490421172950095,9,,,,,,,"[""OPEN_TARGETS""]"
Disorder of lipid metabolism,Orphanet_309005,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06471718586964482,11,,,,,,,"[""OPEN_TARGETS""]"
nonimmune chronic idiopathic neutropenia of adults,MONDO_0011922,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06471466448814023,3,,,,,,,"[""OPEN_TARGETS""]"
X-linked disease,MONDO_0000425,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06469962368101086,11,,,,,,,"[""OPEN_TARGETS""]"
chromosomal disorder,MONDO_0019040,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06461871730010676,13,,,,,,,"[""OPEN_TARGETS""]"
gram-negative bacterial infections,MONDO_0021678,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06443727542227767,17,,,,,,,"[""OPEN_TARGETS""]"
disorder of glycogen metabolism,MONDO_0002412,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06405173222451076,18,,,,,,,"[""OPEN_TARGETS""]"
Rare metabolic liver disease,Orphanet_101940,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06390989817278486,9,,,,,,,"[""OPEN_TARGETS""]"
brain neoplasm,EFO_0003833,EFO,disease / other candidate,ASSOCIATED_WITH,0.06383750622450299,62,,,,,,,"[""OPEN_TARGETS""]"
sella turcica neoplasm,MONDO_0002720,MONDO,disease / other candidate,ASSOCIATED_WITH,0.0637530134059977,50,,,,,,,"[""OPEN_TARGETS""]"
skull base neoplasm,MONDO_0002785,MONDO,disease / other candidate,ASSOCIATED_WITH,0.0637530134059977,50,,,,,,,"[""OPEN_TARGETS""]"
skull neoplasm,MONDO_0024653,MONDO,disease / other candidate,ASSOCIATED_WITH,0.0637530134059977,50,,,,,,,"[""OPEN_TARGETS""]"
disorder of multiple glycosylation,MONDO_0017749,MONDO,disease / other candidate,ASSOCIATED_WITH,0.063751030187921,6,,,,,,,"[""OPEN_TARGETS""]"
hypothalamic neoplasm,EFO_1000979,EFO,disease / other candidate,ASSOCIATED_WITH,0.06372061737976362,47,,,,,,,"[""OPEN_TARGETS""]"
hypothalamic disorder,MONDO_0002150,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06372061737976362,47,,,,,,,"[""OPEN_TARGETS""]"
thalamic disorder,MONDO_0003081,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06372061737976362,47,,,,,,,"[""OPEN_TARGETS""]"
pituitary tumor,MONDO_0017611,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06372061737976362,47,,,,,,,"[""OPEN_TARGETS""]"
inborn mitochondrial metabolism disorder,MONDO_0004069,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06368883605804183,11,,,,,,,"[""OPEN_TARGETS""]"
disorder of metabolite absorption and transport,MONDO_0017757,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06356469452007305,14,,,,,,,"[""OPEN_TARGETS""]"
severe combined immunodeficiency due to CTPS1 deficiency,MONDO_0014391,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06323880893509932,2,,,,,,,"[""OPEN_TARGETS""]"
X-linked agammaglobulinemia,Orphanet_47,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06308164920833748,5,,,,,,,"[""OPEN_TARGETS""]"
Constitutional neutropenia with extra-haematopoietic manifestations,Orphanet_331184,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06290985411933013,9,,,,,,,"[""OPEN_TARGETS""]"
inborn metal metabolism disorder,MONDO_0004689,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06286546383433052,15,,,,,,,"[""OPEN_TARGETS""]"
disorder of mineral absorption and transport,MONDO_0017761,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06283594321859301,13,,,,,,,"[""OPEN_TARGETS""]"
Intermediate osteopetrosis,Orphanet_210110,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06262530637632273,2,,,,,,,"[""OPEN_TARGETS""]"
steroid inherited metabolic disorder,EFO_0005590,EFO,disease / other candidate,ASSOCIATED_WITH,0.06255925969072702,7,,,,,,,"[""OPEN_TARGETS""]"
Congenital bile acid synthesis defect,EFO_0009039,EFO,disease / other candidate,ASSOCIATED_WITH,0.06255925969072702,7,,,,,,,"[""OPEN_TARGETS""]"
Bile acid synthesis defect with cholestasis and malabsorption,Orphanet_163631,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06255925969072702,7,,,,,,,"[""OPEN_TARGETS""]"
Disorder of bile acid synthesis,Orphanet_79168,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06255925969072702,7,,,,,,,"[""OPEN_TARGETS""]"
serum lipopolysaccharide activity,EFO_0600064,EFO,disease / other candidate,ASSOCIATED_WITH,0.061955956195060426,4,,,,,,,"[""OPEN_TARGETS""]"
congenital nervous system disorder,MONDO_0002320,MONDO,disease / other candidate,ASSOCIATED_WITH,0.061757049104030036,19,,,,,,,"[""OPEN_TARGETS""]"
mitochondrial oxidative phosphorylation disorder,MONDO_0016387,MONDO,disease / other candidate,ASSOCIATED_WITH,0.061625695530471356,9,,,,,,,"[""OPEN_TARGETS""]"
hemosiderosis,MONDO_0001436,MONDO,disease / other candidate,ASSOCIATED_WITH,0.061468090254662475,6,,,,,,,"[""OPEN_TARGETS""]"
iron metabolism disease,MONDO_0002279,MONDO,disease / other candidate,ASSOCIATED_WITH,0.061468090254662475,6,,,,,,,"[""OPEN_TARGETS""]"
hereditary hemochromatosis,MONDO_0006507,MONDO,disease / other candidate,ASSOCIATED_WITH,0.061468090254662475,6,,,,,,,"[""OPEN_TARGETS""]"
disorder of iron metabolism and transport,MONDO_0017763,MONDO,disease / other candidate,ASSOCIATED_WITH,0.061468090254662475,6,,,,,,,"[""OPEN_TARGETS""]"
"severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive",MONDO_0011086,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06145065840484985,3,,,,,,,"[""OPEN_TARGETS""]"
immunodeficiency 62,MONDO_0032763,MONDO,disease / other candidate,ASSOCIATED_WITH,0.061287427302364104,2,,,,,,,"[""OPEN_TARGETS""]"
congenital disorder of glycosylation type II,EFO_0005546,EFO,disease / other candidate,ASSOCIATED_WITH,0.061267665046245555,4,,,,,,,"[""OPEN_TARGETS""]"
retinopathy,EFO_0003839,EFO,disease / other candidate,ASSOCIATED_WITH,0.061173786517826824,76,,,,,,,"[""OPEN_TARGETS""]"
ovarian dysfunction,EFO_0009003,EFO,disease / other candidate,ASSOCIATED_WITH,0.06115745838679998,5,,,,,,,"[""OPEN_TARGETS""]"
retinal degeneration,MONDO_0004580,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06105426877698456,44,,,,,,,"[""OPEN_TARGETS""]"
immunodeficiency 73b with defective neutrophil chemotaxis and lymphopenia,MONDO_0033554,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06091620487054746,3,,,,,,,"[""OPEN_TARGETS""]"
ectodermal dysplasia syndrome,MONDO_0019287,MONDO,disease / other candidate,ASSOCIATED_WITH,0.060722507299600506,15,,,,,,,"[""OPEN_TARGETS""]"
hereditary epidermal appendage anomaly,MONDO_0021026,MONDO,disease / other candidate,ASSOCIATED_WITH,0.060722507299600506,15,,,,,,,"[""OPEN_TARGETS""]"
"immunodeficiency, common variable, 4",MONDO_0013284,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06057783398136946,2,,,,,,,"[""OPEN_TARGETS""]"
autoimmune lymphoproliferative syndrome due to CTLA4 haploinsufficiency,MONDO_0014493,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06056222949861612,4,,,,,,,"[""OPEN_TARGETS""]"
peripheral nervous system disease,EFO_0009387,EFO,disease / other candidate,ASSOCIATED_WITH,0.06053277669492492,53,,,,,,,"[""OPEN_TARGETS""]"
immunodeficiency 102,MONDO_0024781,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06052527151314765,3,,,,,,,"[""OPEN_TARGETS""]"
combined immunodeficiency due to DOCK8 deficiency,MONDO_0009478,MONDO,disease / other candidate,ASSOCIATED_WITH,0.0604901614269526,4,,,,,,,"[""OPEN_TARGETS""]"
primary ovarian insufficiency,EFO_0004266,EFO,disease / other candidate,ASSOCIATED_WITH,0.06046449615926616,4,,,,,,,"[""OPEN_TARGETS""]"
female infertility,EFO_0008560,EFO,disease / other candidate,ASSOCIATED_WITH,0.06046449615926616,4,,,,,,,"[""OPEN_TARGETS""]"
inherited primary ovarian failure,MONDO_0019852,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06046449615926616,4,,,,,,,"[""OPEN_TARGETS""]"
melorheostosis,MONDO_0007970,MONDO,disease / other candidate,ASSOCIATED_WITH,0.0598257389770861,2,,,,,,,"[""OPEN_TARGETS""]"
selective IgA deficiency disease,EFO_1001929,EFO,disease / other candidate,ASSOCIATED_WITH,0.059775845696703675,2,,,,,,,"[""OPEN_TARGETS""]"
MHC class II deficiency,MONDO_0008855,MONDO,disease / other candidate,ASSOCIATED_WITH,0.059626165855556364,2,,,,,,,"[""OPEN_TARGETS""]"
Disorder of purine metabolism,Orphanet_79191,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.05947463811513564,2,,,,,,,"[""OPEN_TARGETS""]"
Disorder of purine or pyrimidine metabolism,Orphanet_79224,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.05947463811513564,2,,,,,,,"[""OPEN_TARGETS""]"
PEComa,EFO_1000464,EFO,disease / other candidate,ASSOCIATED_WITH,0.059173841177850586,3,,,,,,,"[""OPEN_TARGETS""]"
peripheral neuropathy,EFO_0003100,EFO,disease / other candidate,ASSOCIATED_WITH,0.059146466698559746,32,,,,,,,"[""OPEN_TARGETS""]"
Rare genetic gastroenterological disease,Orphanet_165652,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.059125847127276955,4,,,,,,,"[""OPEN_TARGETS""]"
